,日期,累计确诊,现有确诊,死亡,痊愈
0,01.13,41,0,1,0
1,01.14,41,0,1,0
2,01.15,41,0,2,5
3,01.16,45,0,2,8
4,01.17,62,0,2,12
5,01.18,198,0,3,17
6,01.19,275,0,4,18
7,01.20,291,291,6,25
8,01.21,440,431,9,25
9,01.22,574,557,17,25
10,01.23,835,776,25,34
11,01.24,1297,1218,41,38
12,01.25,1985,1880,56,49
13,01.26,2761,2630,80,51
14,01.27,4535,4369,106,60
15,01.28,5997,5762,132,103
16,01.29,7736,7442,170,124
17,01.30,9720,9336,213,171
18,01.31,11821,11319,259,243
19,02.01,14411,13779,304,328
20,02.02,17238,16402,361,475
21,02.03,20471,19414,425,632
22,02.04,24363,22980,491,892
23,02.05,28060,26343,564,1153
24,02.06,31211,29032,637,1542
25,02.07,34598,31823,723,2052
26,02.08,37251,33788,812,2651
27,02.09,40235,36043,909,3283
28,02.10,42708,37693,1017,3998
29,02.11,44730,38874,1114,4742
30,02.12,59882,52599,1368,5915
31,02.13,63932,55823,1381,6728
32,02.14,66576,56951,1524,8101
33,02.15,68584,57493,1666,9425
34,02.16,70635,58010,1772,10853
35,02.17,72528,58097,1870,12561
36,02.18,74279,57886,2006,14387
37,02.19,75002,56386,2121,16157
38,02.20,75993,55051,2239,18266
39,02.21,76392,53371,2348,20673
40,02.22,77041,51689,2445,22907
41,02.23,77262,49910,2595,24757
42,02.24,77779,47760,2666,27353
43,02.25,78190,45697,2718,29775
44,02.26,78630,43352,2747,32531
45,02.27,78959,40011,2791,36157
46,02.28,79389,37502,2838,39049
47,02.29,79968,35420,2873,41675
48,03.01,80174,32741,2915,44518
49,03.02,80302,30096,2946,47260
50,03.03,80422,27524,2984,49914
51,03.04,80565,25441,3015,52109
52,03.05,80710,23872,3045,53793
53,03.06,80813,22263,3073,55477
54,03.07,80859,20616,3100,57143
55,03.08,80904,19097,3123,58684
56,03.09,80924,17802,3140,59982
57,03.10,80955,16226,3162,61567
58,03.11,80992,14920,3173,62887
59,03.12,81003,13607,3180,64216
60,03.13,81021,12178,3194,65649
61,03.14,81048,10822,3204,67022
62,03.15,81077,9996,3218,67863
63,03.16,81116,9086,3231,68799
64,03.17,81151,8184,3242,69725
65,03.18,81235,7438,3250,70547
66,03.19,81300,6763,3253,71284
67,03.20,81416,6013,3261,71876
68,03.21,81498,5849,3267,72382
69,03.22,81600,5483,3276,72841
70,03.23,81747,5165,3283,73299
71,03.24,81846,4768,3287,73791
72,03.25,81960,4471,3293,74196
73,03.26,82078,4043,3298,74737
74,03.27,82213,3790,3301,75122
75,03.28,82341,3435,3306,75600
76,03.29,82447,3199,3311,75937
77,03.30,82545,3006,3314,76225
78,03.31,82631,2895,3321,76415
79,04.01,82724,2787,3327,76610
80,04.02,82802,2686,3331,76785
81,04.03,82861,2556,3335,76984
82,04.04,82930,2382,3338,77210
83,04.05,83005,2317,3340,77348
84,04.06,83071,2281,3340,77450
85,04.07,83157,2229,3342,77586
86,04.08,83249,2194,3344,77711
87,04.09,83305,2122,3345,77838
88,04.10,83369,2085,3349,77935
89,04.11,83482,2113,3349,78020
90,04.12,83602,2106,3351,78145
91,04.13,83696,2083,3351,78262
92,04.14,83745,2004,3352,78389
93,04.15,83797,1941,3352,78504
94,04.16,83824,1872,3352,78600
